route_id,route_name,km_from,km_to,province,geocode,agency,accidents,dead,injured,severity_score,accidents_per_year,years_observed,rain_share,common_geometry,common_cause
3,บ้านสิ้ว - โพธิ์ทอง,325,326,จันทบุรี,22,กรมทางหลวง,4,2,7,27,1.33,3,0.25,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
225,ศรีมงคล - น้ำอ้อม,155,156,เพชรบูรณ์,67,กรมทางหลวง,4,1,17,27,4,1,0,ทางโค้งปกติ+บนช่วงลาดชัน,เบรคชำรุด
4015,เขาธง - ฉวาง,59,60,นครศรีธรรมราช,80,กรมทางหลวง,3,2,7,27,1.5,2,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
224,หัวทะเล - โชคชัย,32,33,นครราชสีมา,30,กรมทางหลวง,3,2,7,27,1.5,2,0,ทางแยกรูปตัว ++ที่ราบ,ฝ่าฝืนสัญญาณไฟ/เครื่องหมายจราจร
317,พังงอน - เขาแหลม,58,59,จันทบุรี,22,กรมทางหลวง,3,2,7,27,1,3,0,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
41,ท่าชี - ถ้ำพรรณรา,214,215,สุราษฎร์ธานี,84,กรมทางหลวง,3,2,7,27,1,3,0.667,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1126,พาน - บ้านวัง,34,35,เชียงราย,57,กรมทางหลวง,3,1,17,27,1,3,0,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
21,ซับสมอทอด - หนองไผ่,137,138,เพชรบูรณ์,67,กรมทางหลวง,3,2,7,27,1.5,2,0,ทางตรง+ที่ราบ,มีการตัดหน้าระยะกระชั้นชิด
3199,ท่าพะเนียด - โป่งปัด,5,6,กาญจนบุรี,71,กรมทางหลวง,3,2,7,27,1.5,2,0,ทางตรง+ที่ราบ,หลับใน
2256,หนองน้ำใส - ปางโก,18,19,ลพบุรี,16,กรมทางหลวง,3,2,7,27,1.5,2,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
401,สิชล - ท่าแพ,281,282,นครศรีธรรมราช,80,กรมทางหลวง,3,2,7,27,1.5,2,1,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
2350,หนองหาน - กุมภวาปี,11,12,อุดรธานี,41,กรมทางหลวง,3,2,7,27,1.5,2,0.333,,ขับรถเร็วเกินอัตรากำหนด
7,แขวงคลองสองต้นนุ่น - พิมพา,16,17,กรุงเทพมหานคร,10,กรมทางหลวง,119,0,26,26,23.8,5,0.042,ทางตรง+ไม่มีความลาดชัน,ฝ่าฝืนสัญญาณไฟ/เครื่องหมายจราจร
7,แขวงคลองสองต้นนุ่น - พิมพา,30,31,สมุทรปราการ,11,กรมทางหลวง,51,0,26,26,10.2,5,0.02,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1001,เชียงใหม่ - บ้านโป่ง,4,5,เชียงใหม่,50,กรมทางหลวง,50,0,26,26,12.5,4,0.22,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,สะพานข้ามแม่น้ำท่าจีนฝั่งตะวันตก - นาโคก,39,40,สมุทรสาคร,74,กรมทางหลวง,43,0,26,26,8.6,5,0.116,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด
2,มวกเหล็ก - บ่อทอง,40,41,นครราชสีมา,30,กรมทางหลวง,35,1,16,26,7,5,0.514,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,พิมพา - หนองข้างคอก,66,67,ชลบุรี,20,กรมทางหลวง,34,1,16,26,6.8,5,0.088,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,พิมพา - หนองข้างคอก,60,61,ชลบุรี,20,กรมทางหลวง,32,2,6,26,6.4,5,0.031,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,ตะเคียนเตี้ย - พลา,110,111,ชลบุรี,20,กรมทางหลวง,30,1,16,26,6,5,0.033,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
2,โคกกรวด - นครราชสีมา,138,139,นครราชสีมา,30,กรมทางหลวง,30,1,16,26,7.5,4,0.067,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,ห้วยยาง -  บางสะพาน,365,366,ประจวบคีรีขันธ์,77,กรมทางหลวง,25,1,16,26,6.25,4,0.72,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,ปากท่อ - สระพัง,132,133,เพชรบุรี,76,กรมทางหลวง,23,1,16,26,4.6,5,0.043,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
304,สี่แยกกบินทร์บุรี - วังน้ำเขียว,178,179,ปราจีนบุรี,25,กรมทางหลวง,23,0,26,26,5.75,4,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
340,สาลี - สุพรรณบุรี,74,75,สุพรรณบุรี,72,กรมทางหลวง,22,1,16,26,5.5,4,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตราที่กำหนด
7,พิมพา - หนองข้างคอก,76,77,ชลบุรี,20,กรมทางหลวง,22,1,16,26,4.4,5,0.091,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
304,ฉะเชิงเทรา - เสม็ดเหนือ,77,78,ฉะเชิงเทรา,24,กรมทางหลวง,21,0,26,26,5.25,4,0.619,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตราที่กำหนด
4,พัทลุง - นาโหนด,1165,1166,พัทลุง,93,กรมทางหลวง,18,1,16,26,4.5,4,0.056,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,ตรัง - เขาพับผ้า,1124,1125,ตรัง,92,กรมทางหลวง,17,1,16,26,4.25,4,0.706,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4009,บางใหญ่ - ซอยสิบ,7,8,สุราษฎร์ธานี,84,กรมทางหลวง,17,1,16,26,4.25,4,0.118,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
101,แยกนาแหลม - หนองห้า,258,259,แพร่,54,กรมทางหลวง,16,2,6,26,3.2,5,0.313,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
32,อ่างทอง - ไชโย,50,51,อ่างทอง,15,กรมทางหลวง,16,2,6,26,4,4,0.25,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
101,แยกนาแหลม - หนองห้า,261,262,แพร่,54,กรมทางหลวง,15,1,16,26,3,5,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
419,ถนนวงแหวนรอบเมืองตรัง,30,31,ตรัง,92,กรมทางหลวง,15,0,26,26,3,5,0.4,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
41,ท่าทอง - สวนสมบูรณ์,65,66,ชุมพร,86,กรมทางหลวง,15,1,16,26,3,5,0.267,ทางตรง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด
32,อ่างทอง - ไชโย,66,67,อ่างทอง,15,กรมทางหลวง,15,2,6,26,3.75,4,0.133,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
3,เขาสมิง - แม่น้ำตราด,400,401,ตราด,23,กรมทางหลวง,15,0,26,26,3.75,4,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,นาโคก - แพรกหนามแดง,54,55,สมุทรสงคราม,75,กรมทางหลวง,14,2,6,26,2.8,5,0.071,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
2,สระบุรี - ตาลเดี่ยว,2,3,สระบุรี,19,กรมทางหลวง,14,2,6,26,3.5,4,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
41,สวนสมบูรณ์ - เกาะมุกข์,102,103,สุราษฎร์ธานี,84,กรมทางหลวง,13,1,16,26,3.25,4,0.231,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
11,ขุนตาน - อุโมงค์,508,509,ลำพูน,51,กรมทางหลวง,12,1,16,26,3,4,0,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,คลองท่อม - นาวง,1013,1014,กระบี่,81,กรมทางหลวง,12,2,6,26,3,4,0.417,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
E007S013|U,บางพลี-สุขสวัสดิ์,16,17,สมุทรปราการ,11,การทางพิเศษแห่งประเทศไทย,12,0,26,26,4,3,0,ทางตรง,
361,ทางเลี่ยงเมืองชลบุรี,7,8,ชลบุรี,20,กรมทางหลวง,11,2,6,26,2.75,4,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
